protocol,seed,round,alive_nodes,total_residual_energy_j,mean_residual_energy_j,packets_generated,packets_delivered,packet_delivery_ratio,mean_latency_ms,mean_hops,routing_success,mean_route_reliability,energy_fairness,temperature_c,mean_traffic,cluster_heads
leach,7,22,28,33.47775125134212,0.557962520855702,22,22,1.0,0.6008696434662463,1.0,1.0,1.0,0.8343278568883534,29.417494632216137,0.7051058080294741,1
leach,7,23,27,30.89267055817252,0.5148778426362086,20,19,0.95,0.6008696434662463,1.0,1.0,1.0,0.8043746196897197,27.984278645978264,0.6400668335367602,1
leach,7,24,25,29.264830380599783,0.48774717300999637,17,15,0.8823529411764706,0.6008696434662463,1.0,1.0,1.0,0.8208815641031129,26.503998802771655,0.6853690415706364,1
leach,7,25,22,27.418416960897567,0.45697361601495945,22,19,0.8636363636363636,0.6008696434662463,1.0,1.0,1.0,0.8743530582619699,25.0,0.6900438975789859,1
leach,7,26,21,26.397491570088526,0.43995819283480875,16,15,0.9375,0.6008696434662463,1.0,1.0,1.0,0.887000517615813,23.49600119722835,0.6853607696402837,1
leach,7,27,21,25.63412951458396,0.4272354919097327,13,13,1.0,0.6008696434662463,1.0,1.0,1.0,0.865268472907161,22.015721354021746,0.6371445487663722,1
leach,7,28,21,24.794621426461248,0.4132436904410208,16,16,1.0,0.6008696434662463,1.0,1.0,1.0,0.8396911687226652,20.582505367783867,0.6545072675538521,1
leach,7,29,21,24.237916549934443,0.40396527583224073,11,11,1.0,0.6008696434662463,1.0,1.0,1.0,0.8253880007689658,19.218955910779414,0.6743721379167251,1
leach,7,30,21,23.467887525864626,0.3911314587644104,15,15,1.0,0.6004826499022378,1.0,1.0,1.0,0.8038370414029851,17.946576972490327,0.6967814453375547,1
leach,7,31,20,22.878661142062455,0.38131101903437425,12,11,0.9166666666666666,0.6004826499022378,1.0,1.0,1.0,0.8255503049446314,16.78543472885574,0.6540407300728018,1
leach,7,32,19,22.33169555201663,0.3721949258669438,17,16,0.9411764705882353,0.6004826499022378,1.0,1.0,1.0,0.8519456269809503,15.753841086690528,0.6988429699855578,1
leach,7,33,19,21.85071889361593,0.3641786482269322,13,13,1.0,0.6004826499022378,1.0,1.0,1.0,0.8341604304763277,14.868064893975816,0.6912822074905801,1
leach,7,34,18,21.58364480036685,0.3597274133394475,10,9,0.9,0.6004826499022378,1.0,1.0,1.0,0.8663666358563603,14.142075370407763,0.6578328754726196,1
leach,7,35,17,21.368447457728315,0.3561407909621386,9,8,0.8888888888888888,0.6004826499022378,1.0,1.0,1.0,0.9098523010221607,13.587321804458158,0.6522195788529133,1
leach,7,36,17,21.07263378017279,0.35121056300287984,10,10,1.0,0.6004826499022378,1.0,1.0,1.0,0.9086375486011468,13.212552991255736,0.7013853495959472,1
leach,7,37,17,20.64198563596497,0.3440330939327495,14,14,1.0,0.6004826499022378,1.0,1.0,1.0,0.9034237577900626,13.023679258860742,0.6833621217132874,1
leach,7,38,17,20.376826258255882,0.3396137709709314,13,13,1.0,0.6004826499022378,1.0,1.0,1.0,0.8994617026347392,13.023679258860742,0.6562913109085521,1
leach,7,39,17,19.989062576829976,0.3331510429471663,13,13,1.0,0.6004826499022378,1.0,1.0,1.0,0.8917736740760405,13.212552991255736,0.6840189585281845,1
leach,7,40,17,19.698160801983313,0.32830268003305524,11,11,1.0,0.6004826499022378,1.0,1.0,1.0,0.8862562713976356,13.587321804458156,0.7110032303539711,1
leach,7,41,17,19.36411746765485,0.3227352911275808,14,14,1.0,0.6004826499022378,1.0,1.0,1.0,0.8774711223056972,14.142075370407762,0.6773073418965475,1
leach,7,42,17,19.239557886041037,0.32065929810068394,11,11,1.0,0.6004826499022378,1.0,1.0,1.0,0.87447307275979,14.86806489397582,0.6986340782695375,1
leach,7,43,17,19.08789453641921,0.31813157560698685,9,9,1.0,0.6004826499022378,1.0,1.0,1.0,0.8688866632040075,15.753841086690525,0.6583816713734223,1
leach,7,44,17,18.768648419915777,0.3128108069985963,12,12,1.0,0.6004826499022378,1.0,1.0,1.0,0.8595090337674041,16.785434728855734,0.6656331213666656,1
leach,7,45,17,18.45040150577482,0.3075066917629137,11,11,1.0,0.6004826499022378,1.0,1.0,1.0,0.8464182712512405,17.94657697249032,0.6812872118373287,1
leach,7,46,17,18.168651704191127,0.3028108617365188,12,12,1.0,0.6004826499022378,1.0,1.0,1.0,0.8345841135028651,19.218955910779407,0.666829524875293,1
leach,7,47,17,17.80059580580992,0.29667659676349867,12,12,1.0,0.6004826499022378,1.0,1.0,1.0,0.8182070112613029,20.582505367783867,0.6724876035525824,1
leach,7,48,17,17.52746100110126,0.2921243500183543,8,8,1.0,0.6004826499022378,1.0,1.0,1.0,0.7997723748057276,22.015721354021736,0.659062267294668,1
leach,7,49,17,17.290162626667023,0.28816937711111706,8,8,1.0,0.6004826499022378,1.0,1.0,1.0,0.7915485199916723,23.496001197228345,0.658659792355299,1
leach_c,7,0,60,118.04294993013683,1.967382498835614,47,47,1.0,0.601050563262139,1.0,1.0,1.0,0.9991223877423562,25.0,0.6955215570838345,3
leach_c,7,1,60,116.72778484646012,1.9454630807743354,43,43,1.0,0.601050563262139,1.0,1.0,1.0,0.998496255992218,26.50399880277165,0.6959764628974334,3
leach_c,7,2,60,115.43999333408767,1.9239998889014613,40,40,1.0,0.601050563262139,1.0,1.0,1.0,0.9974373906917735,27.984278645978257,0.6374508763391753,3
leach_c,7,3,60,113.90801943299577,1.8984669905499296,41,41,1.0,0.601050563262139,1.0,1.0,1.0,0.9943824095698663,29.417494632216133,0.6745800793894892,3
leach_c,7,4,60,112.59375449680486,1.8765625749467476,42,42,1.0,0.601050563262139,1.0,1.0,1.0,0.9914784210787425,30.781044089220586,0.6599142018731243,3
leach_c,7,5,60,111.0665561045671,1.8511092684094517,37,37,1.0,0.601050563262139,1.0,1.0,1.0,0.9856735916944728,32.05342302750968,0.6559142743897252,3
leach_c,7,6,60,109.1956507958472,1.81992751326412,43,43,1.0,0.601050563262139,1.0,1.0,1.0,0.9775716089433275,33.21456527114427,0.6963128242665991,3
leach_c,7,7,60,107.3274362176533,1.788790603627555,39,39,1.0,0.601050563262139,1.0,1.0,1.0,0.9670444339338303,34.24615891330947,0.6904656476859651,3
leach_c,7,8,60,105.57223012087752,1.759537168681292,44,44,1.0,0.601050563262139,1.0,1.0,1.0,0.9564467973824482,35.13193510602418,0.7100213280083064,3
leach_c,7,9,59,103.75205146984376,1.7292008578307294,43,42,0.9767441860465116,0.601050563262139,1.0,1.0,1.0,0.9598690907976666,35.85792462959223,0.6753271540953036,3
leach_c,7,10,59,102.18609402429526,1.7031015670715877,37,37,1.0,0.6011691685091802,1.0,1.0,1.0,0.9531643349419878,36.412678195541844,0.6468146352402816,3
leach_c,7,11,57,100.28778798298465,1.6714631330497443,42,40,0.9523809523809523,0.6011691685091802,1.0,1.0,1.0,0.9768340031821305,36.787447008744266,0.7097689368954232,3
leach_c,7,12,57,98.66217661839192,1.6443696103065322,40,40,1.0,0.6011691685091802,1.0,1.0,1.0,0.9705882265067574,36.97632074113926,0.6330873345876281,3
leach_c,7,13,57,96.99209387224292,1.6165348978707152,43,43,1.0,0.6011691685091802,1.0,1.0,1.0,0.965472713099223,36.97632074113926,0.6614399428293642,3
leach_c,7,14,57,95.38786290957621,1.5897977151596037,43,43,1.0,0.6011691685091802,1.0,1.0,1.0,0.956991209731721,36.787447008744266,0.6704758871300608,3
leach_c,7,15,57,93.76746293315382,1.5627910488858971,41,41,1.0,0.6011691685091802,1.0,1.0,1.0,0.9466424588102978,36.412678195541844,0.7293871980939463,3
leach_c,7,16,56,92.58648098975675,1.5431080164959459,36,35,0.9722222222222222,0.6011691685091802,1.0,1.0,1.0,0.9569548616620626,35.85792462959223,0.6473429068063589,3
leach_c,7,17,56,91.32439690448534,1.5220732817414224,38,38,1.0,0.6011691685091802,1.0,1.0,1.0,0.9478957773288922,35.13193510602418,0.6554262824026955,3
leach_c,7,18,56,89.96342793486647,1.499390465581108,42,42,1.0,0.6011691685091802,1.0,1.0,1.0,0.9392295882826979,34.24615891330947,0.695731050673426,3
leach_c,7,19,56,88.58894614048155,1.4764824356746926,38,38,1.0,0.6011691685091802,1.0,1.0,1.0,0.9271684448070335,33.21456527114427,0.6593323673050017,3
leach_c,7,20,55,87.02891306068308,1.450481884344718,40,39,0.975,0.6011512527282118,1.0,1.0,1.0,0.9389066663783695,32.05342302750968,0.7362777717771327,3
leach_c,7,21,55,85.71036895459868,1.4285061492433113,34,34,1.0,0.6011512527282118,1.0,1.0,1.0,0.9377532657888652,30.781044089220583,0.6932037636296968,3
leach_c,7,22,55,84.385087740817,1.4064181290136166,34,34,1.0,0.6011512527282118,1.0,1.0,1.0,0.9340071971215479,29.417494632216137,0.7126384333862542,3
